ID	CanonID	Title	TitleTemp	Filename	Jahr	Date	Authors	Place	Caption	Camera	Nix
6674	127	2005CG-0034-AmelieonStep.jpg	2005CG-0034-AmelieonStep.jpg	2005CG-0034-AmelieonStep.jpg	2005		Ulli Diemer			Canon G5	
6675	128	2005CG-0035-AmelieonStep.jpg	2005CG-0035-AmelieonStep.jpg	2005CG-0035-AmelieonStep.jpg	2005		Ulli Diemer			Canon G5	
6676	129	2005CG-0036-AmelieonStep.jpg	2005CG-0036-AmelieonStep.jpg	2005CG-0036-AmelieonStep.jpg	2005		Ulli Diemer			Canon G5	
6677	130	2005CG-0037-AmelieinWeeds.jpg	2005CG-0037-AmelieinWeeds.jpg	2005CG-0037-AmelieinWeeds.jpg	2005		Ulli Diemer			Canon G5	
6678	131	2005CG-0038-AmelieinWeeds.jpg	2005CG-0038-AmelieinWeeds.jpg	2005CG-0038-AmelieinWeeds.jpg	2005		Ulli Diemer			Canon G5	
6679	132	2005CG-0039-AmelieonStump.jpg	2005CG-0039-AmelieonStump.jpg	2005CG-0039-AmelieonStump.jpg	2005		Ulli Diemer			Canon G5	
6680	133	2005CG-0040-AmelieonStump.jpg	2005CG-0040-AmelieonStump.jpg	2005CG-0040-AmelieonStump.jpg	2005		Ulli Diemer			Canon G5	
6681	134	2005CG-0041-AmelieAmongDandelions.jpg	2005CG-0041-AmelieAmongDandelions.jpg	2005CG-0041-AmelieAmongDandelions.jpg	2005		Ulli Diemer			Canon G5	
6682	135	2005CG-0042-AmelieAmongDandelions.jpg	2005CG-0042-AmelieAmongDandelions.jpg	2005CG-0042-AmelieAmongDandelions.jpg	2005		Ulli Diemer			Canon G5	
6683	136	2005CG-0043-AmeliainStreetcarShelter.jpg	2005CG-0043-AmeliainStreetcarShelter.jpg	2005CG-0043-AmeliainStreetcarShelter.jpg	2005		Ulli Diemer			Canon G5	
6684	137	2005CG-0044-AmelieinStreetcarShelter.jpg	2005CG-0044-AmelieinStreetcarShelter.jpg	2005CG-0044-AmelieinStreetcarShelter.jpg	2005		Ulli Diemer			Canon G5	
6685	138	2005CG-0045-AmelieonSign.jpg	2005CG-0045-AmelieonSign.jpg	2005CG-0045-AmelieonSign.jpg	2005		Ulli Diemer			Canon G5	
6686	139	2005CG-0046-AmelieonSign.jpg	2005CG-0046-AmelieonSign.jpg	2005CG-0046-AmelieonSign.jpg	2005		Ulli Diemer			Canon G5	
6687	140	2005CG-0047-AmelieonSign.jpg	2005CG-0047-AmelieonSign.jpg	2005CG-0047-AmelieonSign.jpg	2005		Ulli Diemer			Canon G5	
6688	141	2005CG-0048-AmelieonSign.jpg	2005CG-0048-AmelieonSign.jpg	2005CG-0048-AmelieonSign.jpg	2005		Ulli Diemer			Canon G5	
6689	142	2005CG-0049-AmelieonSidewalk.jpg	2005CG-0049-AmelieonSidewalk.jpg	2005CG-0049-AmelieonSidewalk.jpg	2005		Ulli Diemer			Canon G5	
6690	143	2005CG-0050-TurtleParty.jpg	2005CG-0050-TurtleParty.jpg	2005CG-0050-TurtleParty.jpg	2005		Ulli Diemer			Canon G5	
